TTB Product Class/Type Codes Reference
=======================================
Source: TTB COLAs Online - Product Class/Type Lookup

Code   Description
-----  -----------

=== WHISKY ===
100    STRAIGHT WHISKY
101    STRAIGHT BOURBON WHISKY
102    STRAIGHT RYE WHISKY
103    STRAIGHT CORN WHISKY
109    OTHER STRAIGHT WHISKY
110    WHISKY BOTTLED IN BOND (BIB)
111    BOURBON WHISKY BIB
112    RYE WHISKY BIB
117    STRAIGHT MALT WHISKY
118    MALT WHISKY
120    STRAIGHT WHISKY BLENDS
121    STRAIGHT BOURBON WHISKY BLENDS
130    WHISKY BLENDS
137    BLENDED WHISKY
140    WHISKY
141    BOURBON WHISKY
142    RYE WHISKY
143    CORN WHISKY
144    LIGHT WHISKY
147    SPIRIT WHISKY
149    OTHER WHISKY (FLAVORED)
150    SCOTCH WHISKY
151    SCOTCH WHISKY FB
153    SINGLE MALT SCOTCH WHISKY
160    CANADIAN WHISKY
161    CANADIAN WHISKY FB
165    STRAIGHT AMERICAN SINGLE MALT
166    AMERICAN SINGLE MALT WHISKEY
170    IRISH WHISKY
171    IRISH WHISKY FB
181-189  WHISKY FLAVORED (ORANGE, GRAPE, LIME, LEMON, CHERRY, CHOCOLATE, MINT, PEPPERMINT, OTHER)
190    OTHER IMPORTED WHISKY

=== GIN ===
200    DISTILLED GIN
201    LONDON DRY DISTILLED GIN
210    GIN
211    LONDON DRY GIN
230    GIN - FLAVORED
231-239  GIN FLAVORED (MINT, ORANGE, LEMON, etc.)
250    DISTILLED GIN (IMPORTED)
260    GIN (IMPORTED)

=== VODKA ===
300    VODKA (80-89 PROOF)
310    VODKA (90-99 PROOF)
320    VODKA (100 PROOF UP)
330    VODKA - FLAVORED
331-339  VODKA FLAVORED (ORANGE, GRAPE, LIME, LEMON, CHERRY, CHOCOLATE, MINT, PEPPERMINT, OTHER)
350-398  VODKA (IMPORTED, various proofs and flavors)

=== RUM ===
400    U.S. RUM (WHITE)
401    PUERTO RICAN RUM (WHITE)
402    VIRGIN ISLANDS RUM (WHITE)
409    OTHER RUM (WHITE)
410    U.S. RUM (GOLD)
411    PUERTO RICAN RUM (GOLD)
430-439  RUM FLAVORED (ORANGE, GRAPE, LIME, LEMON, CHERRY, CHOCOLATE, MINT, PEPPERMINT, OTHER)
450    FOREIGN RUM
461    JAMAICAN RUM WHITE FB
463    JAMAICAN RUM GOLD FB
490    OTHER FOREIGN RUM
499    IMPORTED FLAVORED RUM

=== BRANDY ===
500    CALIFORNIA GRAPE BRANDY
501    CALIFORNIA BRANDY
510    NEW YORK GRAPE BRANDY
520    OTHER DOMESTIC GRAPE BRANDY
521    BRANDY
530-539  BRANDY FLAVORED (APRICOT, BLACKBERRY, PEACH, CHERRY, GINGER, COFFEE, APPLE, PEAR, OTHER)
540    FRUIT BRANDY
541    APPLE BRANDY
550    FRENCH BRANDY
551    COGNAC (BRANDY) FB
553    ARMAGNAC (BRANDY) FB
560    OTHER FOREIGN BRANDY
588    OTHER GRAPE BRANDY (PISCO, GRAPPA) FB

=== CORDIALS & LIQUEURS ===
600    CORDIALS (FRUIT & PEELS)
601    FRUIT FLAVORED LIQUEURS
603    CURACAO
604    TRIPLE SEC
